Search Odds,25%,25%,25%,30%,30%,35%,35%,35%,35%,30%,30%,25%,25%,25%,25%,25%,25%,40%,25%,30%,40%,35%,25%
Items,Apartment,Library,News,Warehouse,Factory,PD,FD,Hospital,Lab,Power,Control,Sport,Bar,Church,Museum,Gas,Shop,Mall,Gatehouse,Infirmary,Armory,Supply,Barracks
Bat,3,,,,,,,,,,,15,,,,,,1,,,,,
Crowbar,1,,,10,10,,30,,,30,,,,,,1,,1,,,,15,
Katanna,,,,,,,,,,,,,,,1,,,,,,,,
Knife,5,,,,,3,40,25,,,20,20,5,,10,5,5,1,,20,,18,10
Sledge,1,,,,10,,,,,,,,,,,,,1,,,,13,
Wrench,2,,,15,10,,,,20,50,30,,,,,3,10,1,,,,8,
Shovel,2,,,,10,,,,,,,,,,,,,1,,,,12,
Rake,2,,,,,,,,,,,,,,,,,1,,,,,
Poolstick,1,,,,,,,,,,,5,25,,,,,1,,,,,
Pipe,2,,,20,15,,,,,40,30,,,,,5,25,1,,,,15,
Pickaxe,,,,,,,,,,,,,,,1,,,,,,,,
Pitchfork,1,,,,,,,,,,,,,3,1,,,1,,,,,
Axe,,,,,,,25,,,,,,,,,,,1,,,,,
Ammo Pistol,1,,,,,70,,,,,,,,,,,,1,,,15,,
Ammo SMG,,,,,,,,,,,,,,,,,,1,,,18,,
Ammo Bow,,,,,,,,,,,,45,,,10,,,1,,,,,
Ammo Shotgun,,,,,,55,,,,,,,5,,,,,1,,,15,,
Ammo Magnum,,,,,,,,,,,,,,,,,5,,,,,,
Biosuit,,,,,,,,,5,,,,,,,,,,,,,,
Firesuit,,,,,,,5,,,,,,,,,,,,,,,,
Kevlar,,,,,,6,,,,,,,,,,,,,,,2,,
Leather,5,,,2,2,,,,,3,2,8,10,,1,,,1,,,,,4
Riotsuit,,,,,,1,,,,,,,,,,,,,,,2,,
Magnum,,,,,,,,,,,,,,,,,2,,,,,,
Pistol,1,,,,,25,,,,,,,,,,,,1,,,5,,
SMG,,,,,,,,,,,,,,,,,,,,,6,,
Shotgun,,,,,,20,,,,,,,3,,,,,1,,,5,,
Bow,,,,,,,,,,,,15,,,3,,,1,,,,,
Flare,,,,,,,40,,,,,5,,,,,,1,,,,20,
Molotov,5,,,,,,,,,,,,60,,,,,1,,,,,
Book,5,3,1,,,,,,,,,,,1,,,,1,,,,,20
Bottle,5,,,10,,,,,,,,,30,1,,,,1,1,,,,15
Newspaper,,1,3,,,,,,,,,,,,,,,1,3,,,,
Generator,,,,,5,,,,,11,,,,,,,,1,,,,,
Terminal,,,,,,,,,15,,,,,,,,,1,,,,,
Transmitter,,,,,,,,,,,10,,,,,,,,,,,5,
Barricade,,,,,,,,,,,,,,,,,,,,,,,
Fuel,,,,10,,,,,,,,,,,,4,,,,,,6,
Toolbox,2,,,,20,,,,,30,,,,,,,,1,,,,8,
Antidote,,,,,,,,,1,,,,,,,,,,,,,,
Bandage,3,,,,,5,5,35,4,,,,,7,,,4,1,,15,,,5
FAK,1,,,,,,,100,,,,,,2,,,,1,,50,,,
Scanner,,,,,,,,,40,,,,,,,,,,,,,,
Syringe,,,,,,,,,30,,,,,,,,,,,,,,
Vaccine,,,,,,,,15,20,,,,,,,,,,,,,,
Flashlight,10,,,1,1,2,2,2,2,2,,2,,,,,1,1,,,,,1
GPS,,,,2,,,,,4,,3,,,,,,,1,,,,3,
Radio,,,,,,20,10,,,,15,,,,,,,1,,,,10,
Pheromone,,,,,,,,,20,,,4,,,,,,1,,,,,
